"id_schedule_block",Session Title,Date,Start Time,End Time,Description,Location,Track Title,UID
16612,"DDAL04-01 Suits of the Mists",08/12/2016,09:00,14:00,"Strange things are afoot in the Moonsea. The factions have called all those willing and able to investigate strange occurrences in the region surrounding Phlan. Dark whispers and unseen terrors lurk in the misty shadows between this world and someplace much more sinister. Unveil the horrors before it is too late! Part one of Misty Fortunes and Absent Hearts. (Characters of Level 1-2, optimized for 1st)","G6K","",
16613,"DDAL04-01 Suits of the Mists",08/12/2016,09:00,14:00,"Strange things are afoot in the Moonsea. The factions have called all those willing and able to investigate strange occurrences in the region surrounding Phlan. Dark whispers and unseen terrors lurk in the misty shadows between this world and someplace much more sinister. Unveil the horrors before it is too late! Part one of Misty Fortunes and Absent Hearts. (Characters of Level 1-2, optimized for 1st)","G6N","",
18359,"Registration",08/12/2016,09:30,21:30,"AnimeFest Member Registration","RG","",
17318,"Automobiles Demo",08/12/2016,10:00,11:00,"Will you cross the finish line first? Now is your chance to find out! Automobiles is a deck‑building game where the fun is cubed. Instead of cards, you’ll be building your collection with cubes. Your cubes not only allow you to race your car around the track, but they will also allow you to improve your handling, optimize your pit crew, and boost your speed, which are your keys to victory!    The goal of the game is to cross the finish line first! You accomplish this by customizing your race car and surrounding yourself with the best crew. Your race car and crew are represented by a collection of cubes garnered from various options that will be available to you. Starting with the same small set of cubes, each player will build their collection as you play the game. Use these cubes to enhance your performance, train your pit crew, and ensure your race car runs as effectively as possible. Be the first to cross the finish line and watch that checkered flag wave!","BG1","",
16955,"Kiki's Delivery Service",08/12/2016,10:00,12:00,"When an apprentice witch turns thirteen, she must leave her home in order to hone her craft. Although Kiki's sole talent is broom-flying, she sets out for adventure with her cat Jiji. They settle in a charming seaside town, where Kiki establishes her own delivery service. As Kiki learns to balance independence with responsibility, her kind heart wins her many new friends in this coming-of-age tale. (Thanks to Studio Ghibli and Disney)","V1","",
16956,"Gatchaman Crowds",08/12/2016,10:00,12:00,"The city of Tachikawa is protected by super fighting humans known as Gatchaman, warriors equipped with special reinforced suits that are powered by NOTE; spiritual powers manifested from living beings. Hajime Ichinose, a 16 year old energetic high school girl who is obsessed with collecting day planners and stationary, is selected to become a Gatchaman. She is tasked with fighting against a mysterious alien life form known as MESS, but due to the nature of her personality she doesn't take her duties seriously. Yet her irresponsible actions end up doing more good than harm, much to the dismay of one other Gatchaman fighter. (Thanks to Crunchyroll)","V2","",
16957,"Phantom Memory Kurau",08/12/2016,10:00,12:00,"It is the year 2100, and on the colonised Moon, a project is under way to explore new aspects of energy. Amami Kurau is the daughter of the chief scientist on the project, and on her 12th birthday, she accompanies her father to the lab to observe the experiments. Then something goes awry, and Kurau is struck by twin bolts of light. In the aftermath, her father is dismayed to find that his daughter is no longer his daughter. Rather, her body is now home to two energy entities with fantastic powers. (Thanks to Funimation)","V3","",
17319,"Harbour Demo",08/12/2016,11:00,12:00,"Harbour is a worker placement game where players move their worker from building to building, collecting and trading Fish, Livestock, Wood, and Stone; and cashing those resources in to purchase buildings (which are the worker placement spots) from the central pool. Once a building is purchased, it is replaced from the deck, and the central pool is a small subset of the deck, and is therefore different every game.    The game ends when a player has purchased his fourth building. After that round finishes, the player with the most points worth of buildings is the winner!","BG1","",
16650,"Autographs",08/12/2016,12:00,13:00,"Guest Autographs (Austin Tindle, Erica Mendez, Lisle Wilkerson, Mark Crilley)","AG","Industry",
17314,"Ashes : Rise of the Phoenixborn Demo",08/12/2016,12:00,13:00,"In Ashes: Rise of the Phoenixborn, a two-player expandable card game, players take on the roles of Phoenixborns, demi-gods and protectors of this world. These characters are the great saviors of their civilizations. Before they came into existence, the humans were plagued by monsters like chimeras that took away their lands and forced them to live in walled-off cities. When the Phoenixborns came, they fought off the chimeras and freed the lands for humans to take over once again.    But the time of peace was short-lived. A prophecy arose that if one Phoenixborn was able to absorb enough Ashes of others, they would ascend into full gods and take mastery over this world. This, as well as humans' greed for land, fueled the War of Ashes. The great cities now fight among each other, each one of them with a Phoenixborn at its helm, and you will decide who will rise and who will fall to ashes.","BG1","",
18363,"Dealers' Room",08/12/2016,12:00,19:00,"We scoured the world for anime and brought the best of it all here for you. We've got all the anime you could eat, all the pocky you could watch, and more! This year's selection of vendors includes more clothing and gaming than before, with great anime to boot!","DR","",
17114,"Battletech : AlphaStrike Demo",08/12/2016,12:00,15:00,"Join us to learn the quick play version of BattleTech","G2","",
16649,"Making Visual Novels",08/12/2016,12:00,13:00,"Ever wanted to make your own visual novel, but you don't know where to start? Join Ayu from sakevisual (and some special guests!) as we talk about the basics of making visual novels. We'll discuss planning, tools of the trade, working with a team, and all sorts of other fiddly bits. There will be free things! (Sake Visual)","P1","Art",
17623,"History of Robot Anime",08/12/2016,12:00,13:00,"Robot anime can be a daunting genre to tackle due to how much product is out there, and this panel is here to help. In this panel, history of robot anime and notable titles, dating back from 1950s, will be explored, with discussions of trends in Japanese cultural history that contributed to the genre and how the genre contributed to Japanese cultural history. (Komeiji)","P2","Anime",
17629,"UtaPri According to Heavens",08/12/2016,12:00,13:00,"Are YOU ready for season 4? We are! Come join us to discuss what you think the future will hold for the boys of Starish and Heavens! Expect games and prizes!    Hosted by yours truly, Heavens! (Jessica, Honeybadger, Kyvainlight)","P3","Anime",
16639,"Animating My Hero Academia",08/12/2016,12:00,13:00,"Animation Directors Ayana Nishino and Kazuhiro Miwa will share their experiences animating one of this season's hottest titles: My Hero Academia. All drawings will be available for bidding on at the AnimeFest Art Auction on Sunday night. (Ayana Nishino, Kazuhiro Miwa)","P4","Anime",
17641,"Photography With Frank West",08/12/2016,12:00,13:00,"Do you want to learn how to photograph?  You have looked at the right panel description then.  Learn from one of the best Photographers in Video Games, Frank West. He's covered wars you know.  Come and learn how to take fantastic camera that will leave all your peers (Alive or dead) Stunned! (Garrett)","P5","Gaming",
17648,"Death Parade: A Game Show with your Life on the Line",08/12/2016,12:00,13:30,"Do you think you are alive?! Think again! Welcome to Quindecim, also known as Purgatory. Test your luck with hosts, Decim and Chiyuki with the rest of the cast of Death Parade as we compete in Twister Hoopla, Romper Roulette, and more! Prizes for every participant! Who knows? You might just escape death with more than you bargained for. (Savii Sunshine, Miikare)","P6","Anime",
16960,"Castle in the Sky",08/12/2016,12:00,14:00,"A girl named Sheeta falls out of the sky and lands in Pazu's arms. Soon after a gang of air pirates led by Dola, as well as a mysterious man named Muska, are on their tails. The chase leads them to a floating castle that once belonged to an ancient race of people. (Thanks to Studio Ghibli and Disney)","V1","",
16959,"Aldnoah.Zero",08/12/2016,12:00,14:00,"In 1972, the Apollo 17 mission discovered a hypergate to Mars on the surface of the moon. Soon a war breaks out between Earth and Mars, and Martian soldiers begin to descend from the sky, riding steel giants, intent on exterminating humanity. (Thanks to Crunchyroll)","V2","",
16961,"Snow White with the Red Hair",08/12/2016,12:00,14:00,"Shirayuki is a beautiful girl working as a medicine woman with red hair, a color that is considered very rare. When she is proposed and chased after by the prince of her country, she cuts her hair and runs away, only to meet Zen, the prince of a neighboring country. Finding respect for the young man, she decides to serve at his side as his court doctor. (Thanks to Funimation)","V3","",
17320,"Doodle City Demo",08/12/2016,13:00,14:00,"Doodle City is a quick family game of city building. By drawing a network of roads on their play sheet, players are building a city and trying to score points for their hotels, shops and taxis — all while avoiding pollution.","BG1","",
18331,"Meet Brina Palencia",08/12/2016,13:00,14:00,"Meet the versital actress / voice actress Brina Palencia, known for her roles in Black Butler, Tokyo Ghoul, My Hero Academia and more, as she shares her background and favorite voice acting experiences with us. (Brina Palencia)","P1","Anime",
16643,"Making of Felicia Day's 3D Printed Dreamer Regalia Armor",08/12/2016,13:00,15:00,"Join Melissa Ng, founder of Lumecluster, as she details her design process and provides a walkthrough of the Dreamer Regalia Armor she custom made for actor Felicia Day. (Melissa Ng)","P2","Cosplay",
17630,"How To Choose A Cosplay",08/12/2016,13:00,14:30,"Ever had trouble choosing a cosplay? Don't know how to plan out your cosplay before the convention? Are your indecisive tendencies keeping you from your cosplay dream? Then this is the panel for you! Discussions include how to choose your character, types of cosplay, target demographics, budget and time constraints, craftsmanship, and more! (David Parker)","P3","Cosplay",
16638,"Meet Fumi Hirano",08/12/2016,13:00,14:00,"Meet Fumi Hirano, the voice actress most well known for her role as Lum in the hit tv series, Urusei Yatsura. Come learn about her many roles and experiences, from her early days debuting in an NHK drama to her roles in more current series such as Rin-ne and Gate. (Lisle Wilkerson, Fumi Hirano)","P4","Anime",
17642,"Cosplay Crash Course",08/12/2016,13:00,15:00," Want to join in the cosplay world?or know how to buy the right wig? Come to cosplay crash course where you can ask all the questions you always wondered about,no need to be shy,but you can just watch if you want to,no pressure.  (Cosplaysloudly)","P5","Cosplay",
17829,"Pokemon GO! Meet-up",08/12/2016,13:00,14:00,"Poke-meet","W1","",
17644,"Semi-Formal Swing Dance Lesson",08/12/2016,13:00,14:30,"Do you want to spruce up your moves for the semi-formal dance? Come join us for swing dance lessons and step up your game. Swing dance is a traditional partner dance filled with snazzy moves for all experience levels. The class will be taught by two avid swing dancers with more than a few years of dance under their belts. We'll start with the basics so don't worry if you have two left feet! By the end of the lesson, you'll have a few impressive tricks up your sleeve.  (Bridgeport)","W2","Off Topic",
17315,"Magic the Gathering : Arena of the Planeswalkers Demo",08/12/2016,14:00,15:00,"In the Magic: The Gathering – Arena of the Planeswalkers, players customize the battlefield by designing the map then placing terrain and powerful glyphs. Then players choose one of five different Planeswalkers and move their figure and unique creature squads around the map in a race to out-maneuver opponents and gain tactical advantages! Cast devastating spells, summon powerful squads, and tap into your unique Planeswalker abilities to defeat your opponents. Be the last Planeswalker standing to win!","BG1","",
16531,"Pathfinder Society Intro - Phantom Phenomena",08/12/2016,14:00,19:00,"Bizarre phenomena have tormented the people of south eastern Ustalav for decades, and these events become stronger and more dangerous every year. Hoping to uncover the origins of these flashes of red lightning and spectral hauntings, Dr. Quolorum from the Sincomakti School of Sciences has set out with a team of able-bodied assistants. Can the PCs help the professor unlock the secret that dwells above Lantern Lake? (Level 1)","G6A","",
16532,"Pathfinder Society 7-10: The Consortium Compact",08/12/2016,14:00,19:00,"The Aspis Consortium pays well, but few can stand its underhanded tactics for long. One operative fed up with the Consortium's practices has contacted the Pathfinder Society with a tempting offer: assist her in leaving the organization, and she will supply the Society with years of insider intelligence about their longstanding rival. It's up to the PCs to navigate Diobel—a proud town run by cutthroat smugglers—earn the defector's trust, and deal a telling blow to their Aspis foes. (Level 1-2)","G6B","",
16533,"Pathfinder Society 7-24: Dead Man's Debt",08/12/2016,14:00,19:00,"Every Pathfinder’s adventures come to an end eventually. When the Society laid an esteemed venture-captain to rest, it was unaware of his outstanding debt to the Ekujae elves of the Mwangi Expanse. The elves have not forgotten, and they expect the Society to make good on the late venture-captain’s promises. It's up to the PCs to brave the Mwangi jungle and the dangers within to salvage the Society’s reputation in the region. (Level 1-5)","G6C","",
16534,"Pathfinder Society 7-06: To Judge a Soul Part 1: The Lost Legacy",08/12/2016,14:00,19:00,"When a samsaran dies, he is reborn again with few memories of his past lives. The cycle continues until he has earned a righteous place in the afterlife. After years of service and lifetimes of accomplishment, Venture-Captain Bakten nears the end of his noble existence and has begun investigating his past lives as a means of understanding Tian Xia's rich history. However, he cannot complete his research alone, and only with the PCs' assistance can they decipher the region's past. “The Lost Legacy” is the first scenario in the two-part To Judge a Soul campaign arc. It is followed by Pathfinder Society Scenario #7-08: 'Karma Reclaimed.' Both chapters are intended to be played in order. (Level 3-7)","G6D","",
16535,"Pathfinder Society 7-13: Captive in Crystal",08/12/2016,14:00,19:00,"Recent events have left the Master of Spells Aram Zey unable to fulfill his duties, and without his expertise, the Pathfinder Society struggles to resolve pressing arcane matters. The Decemvirate has reopened the decade-old case of the most qualified replacement: Aram Zey's predecessor and former Master of Spells Sorrina Westyr, who disappeared while handling a powerful wayfinder that the Society has since kept closely guarded. It is up to the PCs to track down Sorrina Westyr—and bring back whatever remains. (Level 5-9)","G6E","",
16536,"Pathfinder Society 7-98: Serpent's Ire",08/12/2016,14:00,19:00,"A parasitic faction known as the Korholm Agenda has tried to corrupt the upstanding Aspis Consortium from the inside out, all in the vain pursuit of revenge and profit. Now one of the powerful Aspis Patrons has learned that the Korholm Agenda has siphoned the Consortium’s funding to build a base of operations in Nidal. This shall not stand. He has assembled a team of top agents—including both new faces and veterans of the attack on the Grand Lodge a year ago—to infiltrate the operation and shut it down by any means necessary. In this adventure the players portray agents of the Aspis Consortium using 8th-level pregenerated characters. Content in 'Serpents’ Ire' also ties into a special metaplot element from Pathfinder Society Special #6–98: 'Serpents Rise.' Players who have completed that special event are encouraged to bring its Chronicle sheet when playing this adventure. (Pregen 8)","G6F","",
16545,"Pathfinder Adventure Card Game : Season of the Goblin",08/12/2016,14:00,19:00,"An adaptation of the Free RPG Day adventures We Be Goblins! & We Be Goblins Too!. Birds will be crunched, toads will be licked, & many, many things will be exploded.","G6J","",
16615,"DDAL04-02 The Beast / DDAL04-05 The Seer",08/12/2016,14:00,19:00,"Something strange is afoot within the Quivering Forest. So much so that even the elves of Greenhall have left their homes to seek out help from their newfound neighbors. But, their tales of a strange beast are not earning them any favor; especially among the Vistani, whom the elves suspect is to blame for their ills. Return once more to the Quivering Forest and learn the terrifying truth! Part two of Misty Fortunes and Absent Hearts.    The time has come to venture beyond the village of Orașnou and explore the realm of Barovia. However, in your travels, you happen across an unusual tribe of people–distrusted denizens of the Demiplane of Dread. Do the Vistani truly possess the ability to see the future, or is it simple parlor tricks and deceit? Part five of Misty Fortunes and Absent Hearts. (Characters of Level 1-4)","G6K","",
16614,"DDAL04-01 Suits of the Mists",08/12/2016,14:00,19:00,"Strange things are afoot in the Moonsea. The factions have called all those willing and able to investigate strange occurrences in the region surrounding Phlan. Dark whispers and unseen terrors lurk in the misty shadows between this world and someplace much more sinister. Unveil the horrors before it is too late! Part one of Misty Fortunes and Absent Hearts. (Characters of Level 1-2, optimized for 1st)","G6N","",
16647,"From Fan to Professional",08/12/2016,14:00,15:00,"So you're an anime/video game fan who has an interest in voice acting? You'd be surprised at how many professionals were like that too! Hear Erica's story about how she made the transition from fan to professional and geek out with her about your mutual fandoms. (Erica Mendez)","P1","Anime",
16637,"Tokyo Ghoul",08/12/2016,14:00,15:00,"Join Director Shuhei Morita and Chief Animation Director Kazuhiro Miwa as they share their experiences working on Tokyo Ghoul! (Kazuhiro Miwa, Shuhei Morita)","P4","Anime",
17650,"Writing Supernatural Adventure for Comics and Manga",08/12/2016,14:00,15:00,"Love films like Army of Darkness or TV shows like Supernatural? Have an idea for a bad ass monster bashing hero?  Want help in writing awesome horror action? Drew Edwards, the writer/creator of the long running Halloween Man comic book is here to help you learn the ropes of the weird adventure subgenre!  (Drew)","P6","Anime",
16962,"Porco Rosso",08/12/2016,14:00,16:00,"During the beginning years of the Great Depression, life in the Mediterranean has become difficult. Aerial pirate raids are gaining in frequency, thus requiring the need for capable 'bodyguards'. One of the best is a pig known as Porco Rosso. Once a human and an ace pilot during World War I, he now freelances his services to those in distress. The fascist regime that has taken over the Italian Air Force has grown tiresome of his exploits and places a bounty on his head. On top of that, a hotshot flyer from the United States arrives and not only wants to steal Porco Rosso's glory, but also the woman he loves so dearly. (Thanks to Studio Ghibli and Disney)","V1","",
16963,"Haikyuu!!",08/12/2016,14:00,16:00,"Shōyō Hinata began playing volleyball after seeing the 'small giants' who played the sport when he was in elementary school. He suffers a crushing defeat in his first and last tournament in middle school at the hands of his rival Tobio Kageyama. So, Hinata joins Kurasuno High School's volleyball team, vowing revenge against Kageyama. However, Kageyama is also on Kurasuno's team. The former rivals form a legendary combo with Hinata's mobility and Kageyama's precision ball-handling. Together, they take on the local tournaments and vow to meet Kurasuno's fated rival school in the nationals. (Thanks to Crunchyroll)","V2","",
16964,"A Certain Magical Index",08/12/2016,14:00,16:00,"Kamijou Touma is a student living in Academy City, a highly advanced place in terms of technology. Despite being gauged as a level zero esper (no powers), he possesses on his right hand the Imagine Breaker, an ability that negates any power whatsoever. Touma finds a young girl named Index who is trying to run away from Necessarius, a powerful magic organization that she is member of. Blessed with the skill of memorizing any sort of information, she holds 103,000 forbidden magical books within her head. As science and magic cross paths, Touma must face several dangers amid espers and magicians who appear at the exciting scientific town. (Thanks to Funimation)","V3","",
17658,"A Basic Guide to Origami",08/12/2016,14:00,15:00,"In this workshop I’ll introduce you to the basic folds and bases from which most constructions are made, during which I will discuss the history of origami along with its modern-day applications. We will start with simple shapes and will work our way up to the ever-popular peace crane. Perfection is not necessary; be sure to bring an open mind and a clear heart. Every fold is beautiful. (Damian)","W4","Art",
16651,"Autographs",08/12/2016,15:00,16:00,"Guest Autographs (Sake Visual, Kristen McGuire, Lindsay Seidel, Micah Solusod)","AG","Industry",
17321,"Lanterns: The Harvest Festival Demo",08/12/2016,15:00,16:00,"In Lanterns: The Harvest Festival, players have a hand of tiles depicting various color arrangements of floating lanterns, as well as an inventory of individual lantern cards of specific colors. When you place a tile, all players (you and your opponents) receive a lantern card corresponding to the color on the side of the tile facing them. Place carefully to earn cards and other bonuses for yourself, while also looking to deny your opponents. Players gain honor by dedicating sets of lantern cards — three pairs, for example, or all seven colors — and the player with the most honor at the end of the game wins.","BG1","",
17584,"D&D3.5 The Twilight Tower",08/12/2016,15:00,19:00," The twilight tower is a horror and mystery level 1 adventure that has the party exploring an otherworldly mansion in search of clues towards the disappearance of a military tower. It is not a task for the faint of heart or the reckless.","G1","",
17115,"Battletech : Mechs against Humanity",08/12/2016,15:00,20:00,"Inhuman combatants in an inhuman conflict","G2","",
16646,"Meet Austin Tindle",08/12/2016,15:00,16:00,"Come have a conversation with Austin Tindle. You can talk about his life, career, getting into to voice acting, past characters or, ya know, other stuff too. If you don't have any questions he'll probably just talk about himself. Or read Harry Potter out loud. Not Goblet of Fire, though. (Austin Tindle)","P1","Anime",
16644,"Meet Mark Crilley",08/12/2016,15:00,16:00,"Meet Mark Crilley, the author of graphic novel series Miki Falls and Brody's Ghost. Mark is extremely active on Youtube where he regularly shares his drawings and techniques with thousands of viewers. (Mark Crilley)","P2","Art",
17631,"So you want to get in-character (beginners) ",08/12/2016,15:00,16:30,"The panel will teach people the basics of how to act and talk more like the characters they cosplay as well as do's and don'ts when interacting with other people. (Michelle)","P3","Cosplay",
16636,"One-Punch Man",08/12/2016,15:00,16:00,"Join Director Shingo Natsume and Chief Animation Director Chikashi Kubota as they share their experiences creating the hit anime One-Punch Man! All drawings will be available for bidding on at the AnimeFest Art Auction on Sunday night. (Chikashi Kubota, Shingo Natsume)","P4","Anime",
17643,"I Am Panelist! (And So Can You!)",08/12/2016,15:00,16:30,"Love going to panels?  Want to run your own?  Vitamin H is here to help you make them great!  Covering everything from choosing a topic, the process that goes into planning, pitching your panel, and public speaking tips to getting feedback and staying in contact with your fans. We'll help you make your audience as excited about your topic as you are! (Kidd The Maniac, Pathos Prime)","P5","Off Topic",
17651,"Body Image in Comics and Manga",08/12/2016,15:00,16:00,"Drew Edwards and Jamie Bahr dive into the subject of body diversity, body positivity, and how it tied into the ground breaking character of Lucy Chaplin in the comic 'Halloween Man.'  (Drew)","P6","Manga",
17322,"Quadropolis Demo",08/12/2016,16:00,17:00,"In Quadropolis™ you enact the role of the Mayor of a modern city. You will need to define a global strategy to build your city according to your Inhabitants’ needs and outmatch your opponents, sending your Architects to have various buildings erected in your city. Each building allows you to score victory points. There are various types of buildings with different scoring patterns; many of them may be combined for better effect.","BG1","",
17093,"Ultimate d20",08/12/2016,16:00,20:00,"Join us for a day of adventure! Take the role of a mighty warrior, a sneaky rogue or a powerful mage in the Ultimate d20 gaming experience!","G3","",
17619,"Anime in America: From Speed Racer to Space Dandy",08/12/2016,16:00,17:30,"America has been importing Those Weird Asian Cartoons for longer than most of us have been alive, and the journey from animation cel to your television or computer has been longer and more storied than you might think.      Join Vitamin H as we explore the history of anime as seen from this side of the Pacific, from black-and-white television shows of the 1960s through the rise of Toonami and the fall of Geneon and ADV...And even a look at what the future might hold.   (Kidd The Maniac, Pathos Prime)","P1","Anime",
17624,"Is Anime Racist? ",08/12/2016,16:00,17:00,"Now that anime and manga are worldwide products, many people outside Japan have questions related to race: “Why do the characters look white? Why aren’t there any black characters? Why aren’t their eyes squinty? Is anime racist?” Find out the answers to these questions and more in this panel.    (sensei)","P2","Anime",
16635,"Meet Toshio Furukawa",08/12/2016,16:00,17:00,"Meet legendary Voice Actor Toshio Furukawa, responsible for the voices of Piccolo (Dragon Ball franchise), Ataru Moroboshi (Urusei Yatsura), Kai Shiden (Gundam), Portgas D. Ace (One Piece) and many more! (Lisle Wilkerson, Toshio Furukawa)","P4","Anime",
17652,"Leatherworking 101: armor building and more! ",08/12/2016,16:00,17:00,"In this panel, you will learn the basics of leathercraft including:   *Tips and tricks for saving money to get started  *The tools of the trade  *Different kinds of leather  *What thicknesses to use and when  *How to wet mould for armor building  *Making patterns   *How to engineer leather armor properly   (Lauren Bonneau)","P6","Cosplay",
16965,"Only Yesterday",08/12/2016,16:00,18:00,"Taeko Okajima is a typical 'office lady' in a big company in a big city. When she takes a sabbatical to the countryside in Yamagata Prefecture, the hometown of her brother-in-law, the journey recalled her memory of her 5th grade year. During her stay in Yamagata, she works hard and happily as a farmer and is surrounded by friendly relatives and villagers, bringing up more memories. Their hospitality makes her to reconsider her choice of life. (Thanks to Studio Ghibli and GKids)","V1","",
17608,"Sweetness and Lightning",08/12/2016,16:00,18:00,"Math teacher Kouhei Inuzuka is a widower with a young daughter named Tsumugi. Inuzuka isn't adept in the kitchen but with the help of his student Kotori Iida and his daughter, he embarks on a culinary adventure. (Thanks to Crunchyroll)","V2","",
16973,"Assassination Classroom",08/12/2016,16:00,18:00,"One day, the moon exploded, leaving it in a perpetual crescent-moon shape. The creature who claims responsibility for the destruction also claims it will destroy the world in March of next year. With powers beyond human comprehension, no military can stand against it. Yet, for some reason, it chooses to take up occupancy as a teacher in the worst class of Kunugigaoka Middle School. The fate of the world rests in the hands of its students, as they have until graduation to figure out how to murder their teacher and collect ten billion yen for saving the world. (Thanks to Funimation)","V3","",
16642,"Digital Painting 101",08/12/2016,16:00,18:00,"A step by step of the basics of creating a digital masterpiece sans paper and pen. Come and learn how to save a tree and paint within your computer with Manga Artist Amelie Belcher! (Amelie Belcher)","W1","Art",
17656,"Learn Mah Jongg",08/12/2016,16:00,17:30,"Mah Jongg is a classic gambling game that originated in China, and enjoyed worldwide today. It's a well-known pasttime in Japan, and several anime have featured Mah Jongg games and players. Some series have even been based entirely around the game, like [i]Saki[/i] and [i]Akagi[/i].    If you want to learn to play a new game, or better follow what's going on in these shows, or just appreciate a bit of culture from East Asia, stop by and we'll cover the rules of the game and play a few hands. (hooliganj, Damian)","W2","Gaming",
16900,"Autographs",08/12/2016,17:00,18:00,"Japanese Guest Autographs (Ayana Nishino, Chikashi Kubota, Kazuhiro Miwa, Shingo Natsume, Shuhei Morita)","AG","Industry",
17310,"Favor of the Pharaoh Demo",08/12/2016,17:00,18:00,"In Favor of the Pharaoh, players roll dice to advance in Egyptian society, each turn gaining a new contact and more influence. These contacts give players more dice to roll or special powers to adjust those dice. The game culminates in a tense final roll-off as players vie for the Pharaoh's favor.","BG1","",
